Zip Code,mean_price,median_price,std_price
1030,725000.0,725000.0,0.0
1050,528333.3333333334,495000.0,124784.38317581714
1070,315000.0,315000.0,0.0
1180,470000.0,470000.0,0.0
1760,399000.0,399000.0,0.0
2018,480000.0,480000.0,0.0
2100,248000.0,248000.0,0.0
2140,185000.0,185000.0,0.0
2160,249000.0,249000.0,0.0
2600,149000.0,149000.0,0.0
2660,226000.0,229000.0,32337.4925876096
2850,249900.0,249900.0,0.0
6700,275000.0,275000.0,0.0
9000,435000.0,435000.0,0.0
9400,299000.0,299000.0,0.0
9500,300078.8880540947,400000.0,100096.25711928001
