Locality,Zip Code,Type of Property,Subtype of Property,Price,Type of Sale,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Any Fireplace ?,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,Construction Year,PEB,Primary Energy Consumption (kWh/m2),State of the Building,Url
Gent,9000,Apartment,apartment,229000,for-sale,1,44,0,0,0,0,,0,,0,,2.0,1918.0,B,190.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/gent/9000/20294803
Uccle,1180,House,villa,1250000,for-sale,4,584,1,0,0,0,,1,1085.0,0,1225,4.0,1932.0,G,402.0,To renovate,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/20291728
Etterbeek,1040,House,house,875000,for-sale,4,233,1,0,0,1,21.0,0,,0,112,3.0,1929.0,G,563.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/20307699
Elversele,9140,House,villa,825000,for-sale,4,281,0,0,0,0,,0,,1,1450,4.0,2001.0,B,181.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/elversele/9140/20280446
Kalmthout,2920,House,manor-house,4750000,for-sale,3,326,0,0,0,0,,0,,0,34799,4.0,2015.0,A,95.0,As new,https://www.immoweb.be/en/classified/manor-house/for-sale/kalmthout/2920/10959588
Berlaar,2590,Apartment,apartment,334000,for-sale,2,93,1,0,0,0,,0,,0,,,2023.0,A,2.0,,https://www.immoweb.be/en/classified/apartment/for-sale/berlaar/2590/20290949
Maldegem,9990,House,house,749000,for-sale,6,450,1,0,1,1,25.0,1,405.0,0,583,4.0,1951.0,C,262.0,As new,https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/20312448
Hoegaarden,3320,House,house,299000,for-sale,3,141,0,0,0,0,,0,,0,216,2.0,1930.0,C,245.0,Good,https://www.immoweb.be/en/classified/house/for-sale/hoegaarden/3320/20279896
Antwerpen,2020,Apartment,apartment,210000,for-sale,2,89,1,0,0,1,5.0,0,,0,,,,C,283.0,,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2020/20306277
Bievre,5555,House,house,269000,for-sale,3,130,1,0,0,1,40.0,0,,0,270,2.0,,B,118.0,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/bievre/5555/20258896
Keerbergen,3140,House,house,699000,for-sale,3,255,1,0,0,0,,0,,1,1380,4.0,1992.0,B,194.0,As new,https://www.immoweb.be/en/classified/house/for-sale/keerbergen/3140/20098588
Uccle,1180,House,villa,2900000,for-sale,6,450,1,0,0,1,100.0,1,1000.0,0,1574,4.0,1965.0,G,446.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/11258081
Bruxelles,1000,House,mixed-use-building,3500000,for-sale,34,2295,0,1,0,0,,0,,0,,2.0,1881.0,,,Good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/20302462
Seraing,4102,House,house,59000,for-sale,1,48,1,0,0,1,22.0,0,,0,68,2.0,1874.0,G,529.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/seraing/4102/20299829
Uccle,1180,House,house,585000,for-sale,3,200,1,0,0,1,20.0,1,50.0,0,,2.0,1960.0,E,250.0,As new,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20257712
Wilrijk,2610,Apartment,apartment,210000,for-sale,2,89,1,0,0,1,5.0,0,,0,,,,C,283.0,,https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/20306276
La-louviere-houdeng-goegnies,7110,House,house,159000,for-sale,2,117,0,0,0,0,,0,,0,298,3.0,1958.0,E,367.0,Good,https://www.immoweb.be/en/classified/house/for-sale/la-louviere-houdeng-goegnies/7110/20302461
Jette,1090,Apartment,apartment,299000,for-sale,3,128,1,0,0,0,,0,,0,,2.0,1963.0,G,405.0,Good,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/20260785
Aalst,9320,House,apartment-block,699000,for-sale,7,525,0,0,0,1,20.0,0,,0,330,2.0,1966.0,B,181.0,To renovate,https://www.immoweb.be/en/classified/apartment-block/for-sale/aalst/9320/11228592
Deinze,9800,Apartment,apartment,229000,for-sale,2,80,1,0,0,0,,0,,0,,2.0,1977.0,B,132.0,As new,https://www.immoweb.be/en/classified/apartment/for-sale/deinze/9800/20296497
Sint-idesbald,8670,House,villa,2450000,for-sale,5,340,0,0,0,1,80.0,0,,0,1544,4.0,,B,,As new,https://www.immoweb.be/en/classified/villa/for-sale/sint-idesbald/8670/20259036
Moorsele,8560,House,villa,795000,for-sale,3,300,0,0,0,0,,0,,0,2422,,2017.0,,,,https://www.immoweb.be/en/classified/villa/for-sale/moorsele/8560/20302553
Ixelles,1050,House,house,875000,for-sale,4,233,1,0,0,1,21.0,0,,0,112,3.0,1929.0,G,563.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/ixelles/1050/20307701
Habay-orsinfaing,6724,House,exceptional-property,749000,for-sale,5,608,1,1,0,1,130.0,1,1200.0,1,6595,3.0,,D,274.0,Good,https://www.immoweb.be/en/classified/exceptional-property/for-sale/habay-orsinfaing/6724/20304457
Uccle,1180,House,house,2785000,for-sale,4,400,1,0,0,1,100.0,1,900.0,1,1045,4.0,2015.0,C,112.0,As new,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20127066
Uccle,1180,House,house,850000,for-sale,4,230,1,0,0,1,50.0,1,262.0,0,250,2.0,1997.0,E,245.0,Good,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/20272117
Ronse,9600,House,country-cottage,239000,for-sale,3,160,0,0,0,0,,0,,0,410,4.0,,B,192.0,To be done up,https://www.immoweb.be/en/classified/country-cottage/for-sale/ronse/9600/20302361
Uccle,1180,House,villa,2880000,for-sale,6,398,1,0,0,1,100.0,1,2000.0,0,2500,4.0,1956.0,C,137.0,As new,https://www.immoweb.be/en/classified/villa/for-sale/uccle/1180/11198999
Antwerpen,2060,House,mixed-use-building,149000,for-sale,,67,0,0,0,1,10.0,1,10.0,0,73,3.0,1918.0,B,,Just renovated,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/antwerpen/2060/11394204
Sint-lievens-houtem,9520,House,villa,549000,for-sale,4,210,1,0,0,0,,0,,0,3582,4.0,1983.0,F,701.0,Good,https://www.immoweb.be/en/classified/villa/for-sale/sint-lievens-houtem/9520/20295807
Brugge,8000,House,house,695000,for-sale,6,340,0,0,0,0,,0,,0,,4.0,,E,455.0,Good,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20083284
Belsele,9111,House,house,675000,for-sale,5,360,1,0,0,1,50.0,1,1900.0,0,2200,3.0,,,,Just renovated,https://www.immoweb.be/en/classified/house/for-sale/belsele/9111/20297219
Brugge,8000,House,mansion,788000,for-sale,4,380,0,0,0,0,,0,,0,148,,,B,195.0,Good,https://www.immoweb.be/en/classified/mansion/for-sale/brugge/8000/20313655
Brugge,8000,House,house,695000,for-sale,6,340,0,0,0,0,,0,,0,,4.0,,E,455.0,Good,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/20087965
Bruxelles,1120,House,apartment-block,565000,for-sale,4,215,0,0,1,1,22.0,1,105.0,0,,2.0,,G,793.0,Good,https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1120/20268809
Comblain-au-pont,4171,House,house,150000,for-sale,3,104,1,0,0,1,15.0,1,15.0,0,193,4.0,1919.0,F,444.0,To be done up,https://www.immoweb.be/en/classified/house/for-sale/comblain-au-pont/4171/20119205
Ledeberg,9050,House,house,299000,for-sale,4,155,0,0,0,0,,0,,0,128,2.0,,C,247.0,To renovate,https://www.immoweb.be/en/classified/house/for-sale/ledeberg/9050/20308257
Manage,7170,House,house,119000,for-sale,4,165,0,0,0,0,,0,,0,90,3.0,1918.0,E,372.0,Good,https://www.immoweb.be/en/classified/house/for-sale/manage/7170/20301278
Lasne,1380,House,house,830000,for-sale,5,222,1,0,0,1,30.0,1,1850.0,0,2031,4.0,1930.0,C,251.0,Good,https://www.immoweb.be/en/classified/house/for-sale/lasne/1380/20266760
